,text,emotion
4244,Bu sonuç beni hiç de mutlu etmedi.,Sarkazm
4245,"Bayılıyorum, bu tam da olmasını istediğim gibi!",Sarkazm
4246,"Evet, bu kesinlikle çok mantıklı bir yorum.",Sarkazm
4247,"Harika bir plan, kesinlikle ilerleyeceğiz.",Sarkazm
4248,"Bu tam olarak arzu ettiğim gibi, şaşırmadım.",Sarkazm
4249,"Çok zekice, bunu nasıl organize ettin?",Sarkazm
4250,"Evet, bu kesinlikle çok mantıklı bir seçenek.",Sarkazm
4251,Bu yemeğin kokusu midemi bulandırıyor.,İğrenme
4252,"O kadar pis ki, bakmaya dayanamıyorum.",İğrenme
4253,Bu davranışların beni tiksindiriyor.,İğrenme
4254,Bu böcekler iğrenç görünüyor.,İğrenme
4255,O sahne o kadar rahatsız ediciydi ki gözlerimi kapattım.,İğrenme
4256,Bu manzara karşısında içim daraldı.,İğrenme
4257,Bu kadar pisliğe nasıl dayanıyorsun?,İğrenme
4258,Bu düşünce beni hasta ediyor.,İğrenme
4259,Bu koku beni kendimden geçiriyor.,İğrenme
4260,Bu durum karşısında nutkum tutuldu.,İğrenme
4261,Bu kadar kötü bir şeyi daha önce görmedim.,İğrenme
4262,Bu olay beni derinden sarstı.,İğrenme
4263,Bu iğrençlik karşısında ne diyeceğimi bilemiyorum.,İğrenme
4264,Bu kadar vurdumduymaz olmak iğrenç.,İğrenme
4265,Bu pislikten uzak durmak istiyorum.,İğrenme
4266,Bu kadar adaletsizlik beni kahrediyor.,İğrenme
4267,Bu kadar şiddet beni dehşete düşürüyor.,İğrenme
4268,Bu kadar yalan beni hasta ediyor.,İğrenme
4269,Bu kadar riyakarlık beni çileden çıkarıyor.,İğrenme
4270,Bu kadar açgözlülük beni şaşırtıyor.,İğrenme
4271,Bu kadar bencillik beni üzüyor.,İğrenme
4272,Bu kadar saygısızlık beni kızdırıyor.,İğrenme
4273,Bu kadar cahillik beni hayrete düşürüyor.,İğrenme
4274,Bu kadar kabalık beni incitiyor.,İğrenme
4275,Bu kadar umursamazlık beni hayal kırıklığına uğratıyor.,İğrenme
4276,Bu kadar kötülük beni korkutuyor.,İğrenme
4277,Bu kadar nefret beni üzüyor.,İğrenme
4278,Bu kadar ayrımcılık beni öfkelendiriyor.,İğrenme
4279,Bu kadar istismar beni tiksindiriyor.,İğrenme
4280,Bu kadar ihmal beni üzüyor.,İğrenme
4281,Bu kadar sömürü beni öfkelendiriyor.,İğrenme
4282,Bu kadar baskı beni boğuyor.,İğrenme
4283,Bu kadar zulüm beni kahrediyor.,İğrenme
4284,Bu kadar işkence beni dehşete düşürüyor.,İğrenme
4285,Bu kadar ölüm beni üzüyor.,İğrenme
4286,Bu kadar hastalık beni korkutuyor.,İğrenme
4287,Bu kadar açlık beni üzüyor.,İğrenme
4288,Bu kadar sefalet beni kahrediyor.,İğrenme
4289,Bu kadar savaş beni dehşete düşürüyor.,İğrenme
4290,Bu kadar yıkım beni üzüyor.,İğrenme
4291,Bu kadar çevre kirliliği beni öfkelendiriyor.,İğrenme
4292,Bu kadar hayvanlara kötü davranılması beni tiksindiriyor.,İğrenme
4293,Bu kadar ormanların yok edilmesi beni üzüyor.,İğrenme
4294,Bu kadar denizlerin kirlenmesi beni kahrediyor.,İğrenme
4295,Bu kadar havanın kirlenmesi beni dehşete düşürüyor.,İğrenme
4296,Bu kadar su kaynaklarının tükenmesi beni üzüyor.,İğrenme
4297,Bu kadar toprakların verimsizleşmesi beni korkutuyor.,İğrenme
4298,Bu kadar doğal kaynakların sömürülmesi beni öfkelendiriyor.,İğrenme
4299,Bu kadar bilinçsiz tüketim beni tiksindiriyor.,İğrenme
4300,Bu kadar israf beni üzüyor.,İğrenme
4301,Bu kadar duyarsızlık beni kahrediyor.,İğrenme
4302,Bu kadar vicdansızlık beni dehşete düşürüyor.,İğrenme
4303,Bu kadar acımasızlık beni üzüyor.,İğrenme
4304,Bu kadar zalimlik beni korkutuyor.,İğrenme
4305,Bu kadar gaddarlık beni öfkelendiriyor.,İğrenme
4306,Bu kadar vahşet beni tiksindiriyor.,İğrenme
4307,Bu kadar barbarlık beni üzüyor.,İğrenme
4308,Bu kadar ilkellik beni kahrediyor.,İğrenme
4309,Bu kadar çağ dışılık beni dehşete düşürüyor.,İğrenme
4310,Bu kadar bağnazlık beni üzüyor.,İğrenme
4311,Bu kadar fanatizm beni korkutuyor.,İğrenme
4312,Bu kadar köktencilik beni öfkelendiriyor.,İğrenme
4313,Bu kadar terörizm beni tiksindiriyor.,İğrenme
4314,Bu kadar şiddet eylemi beni üzüyor.,İğrenme
4315,Bu kadar kan dökülmesi beni kahrediyor.,İğrenme
4316,Bu kadar masum insanların ölmesi beni dehşete düşürüyor.,İğrenme
4317,Bu kadar çocukların ölmesi beni üzüyor.,İğrenme
4318,Bu kadar kadınların şiddet görmesi beni korkutuyor.,İğrenme
4319,Bu kadar insanların sömürülmesi beni öfkelendiriyor.,İğrenme
4320,Bu kadar hırsızlık beni tiksindiriyor.,İğrenme
4321,Bu kadar yolsuzluk beni üzüyor.,İğrenme
4322,Bu kadar rüşvet beni kahrediyor.,İğrenme
4323,Bu kadar adam kayırma beni dehşete düşürüyor.,İğrenme
4324,Bu kadar ayrımcılık beni üzüyor.,İğrenme
4325,Bu kadar ırkçılık beni korkutuyor.,İğrenme
4326,Bu kadar cinsiyetçilik beni öfkelendiriyor.,İğrenme
4327,Bu kadar homofobi beni tiksindiriyor.,İğrenme
4328,Bu kadar yabancı düşmanlığı beni üzüyor.,İğrenme
4329,Bu kadar engelli ayrımcılığı beni kahrediyor.,İğrenme
4330,Bu kadar yaşlı ayrımcılığı beni dehşete düşürüyor.,İğrenme
4331,Bu kadar fakirleri hor görmek beni üzüyor.,İğrenme
4332,Bu kadar zenginlerin açgözlülüğü beni korkutuyor.,İğrenme
4333,Bu kadar güç sahiplerinin zalimliği beni öfkelendiriyor.,İğrenme
4334,Bu kadar ünlülerin şımarıklığı beni tiksindiriyor.,İğrenme
4335,Bu kadar politikacıların yalanları beni üzüyor.,İğrenme
4336,Bu kadar din adamlarının riyakarlığı beni kahrediyor.,İğrenme
4337,Bu kadar öğretmenlerin ilgisizliği beni dehşete düşürüyor.,İğrenme
4338,Bu kadar doktorların umursamazlığı beni üzüyor.,İğrenme
4339,Bu kadar avukatların düzenbazlığı beni korkutuyor.,İğrenme
4340,Bu kadar gazetecilerin yalan haberleri beni öfkelendiriyor.,İğrenme
4341,Bu kadar sanatçıların kendini beğenmişliği beni tiksindiriyor.,İğrenme
4342,Bu kadar bilim adamlarının etik dışı deneyleri beni üzüyor.,İğrenme
4343,Bu kadar insanların birbirine düşmanlığı beni kahrediyor.,İğrenme
4344,Bu kadar kavga ve gürültü beni dehşete düşürüyor.,İğrenme
4345,Bu kadar dedikodu beni üzüyor.,İğrenme
4346,Bu kadar iftira beni korkutuyor.,İğrenme
4347,Bu kadar yalan beni öfkelendiriyor.,İğrenme
4348,Bu kadar aldatma beni tiksindiriyor.,İğrenme
4349,Bu kadar ihanet beni üzüyor.,İğrenme
4350,Bu kadar kıskançlık beni kahrediyor.,İğrenme
4351,Bu kadar nefret beni dehşete düşürüyor.,İğrenme
4352,Bu kadar öfke beni üzüyor.,İğrenme
4353,Bu kadar kin beni korkutuyor.,İğrenme
4354,Bu kadar intikam hırsı beni öfkelendiriyor.,İğrenme
4355,Bu kadar şiddet beni tiksindiriyor.,İğrenme
4356,Bu kadar savaş beni üzüyor.,İğrenme
4357,Bu kadar açlık beni kahrediyor.,İğrenme
4358,Bu kadar hastalık beni dehşete düşürüyor.,İğrenme
4359,O kadar kötü kokuyordu ki kusmak istedim.,İğrenme
4360,"Harika, bir de kahve lekesi ekle, tam olsun.",Sarkazm
4361,"Tabii ki, ben de tam bunu yapmayı planlıyordum.",Sarkazm
4362,"Evet, zekice bir fikir, kim düşünebilirdi ki?",Sarkazm
4363,"Mükemmel zamanlama, bravo!",Sarkazm
4364,Kesinlikle en sevdiğim aktivite bu.,Sarkazm
4365,"Bayılıyorum bu duruma, keşke hep böyle olsa.",Sarkazm
4366,"Aman Tanrım, bu tam bir sürpriz oldu!",Sarkazm
4367,Ne kadar da orijinal bir yorum.,Sarkazm
4368,"Çok komik, gülmekten ölüyorum şu an.",Sarkazm
4369,Bu harika planın için sana minnettarım.,Sarkazm
4370,Daha iyi bir şey hayal edemezdim.,Sarkazm
4371,"Bu tam da beklediğim gibiydi, şaşırmadım.",Sarkazm
4372,Sen olmasan ne yapardım bilmiyorum.,Sarkazm
4373,Bu gerçekten de günümü aydınlattı.,Sarkazm
4374,"Aynen, bu tam da ihtiyacım olan şeydi.",Sarkazm
4375,Bu kadar yaratıcı bir çözüm beklemiyordum.,Sarkazm
4376,Gerçekten de çok düşündün mü bunu söylerken?,Sarkazm
4377,Bu bilgiyle hayatım değişti resmen.,Sarkazm
4378,Bu muhteşem hikayeni dinlemeye bayılıyorum.,Sarkazm
4379,Keşke herkes senin kadar zeki olabilseydi.,Sarkazm
4380,"Evet, kesinlikle çok mantıklı bir açıklama.",Sarkazm
4381,Bu önerin için sana sonsuz teşekkürler.,Sarkazm
4382,"Daha iyisi olamazdı, gerçekten.",Sarkazm
4383,Bu konu hakkında ne kadar bilgili olduğuna hayranım.,Sarkazm
4384,Senin fikirlerin her zaman çok işe yarıyor.,Sarkazm
4385,Bu kadar hassas olmana bayılıyorum.,Sarkazm
4386,Senin gibi bir arkadaşım olduğu için çok şanslıyım.,Sarkazm
4387,Bu kesinlikle unutulmaz bir deneyimdi.,Sarkazm
4388,Bu kadar organize olmana hayranım.,Sarkazm
4389,Bu konuda ne kadar yetenekli olduğuna inanamıyorum.,Sarkazm
4390,Senin gibi bir liderle çalışmak harika.,Sarkazm
4391,Bu kadar anlayışlı olmana bayılıyorum.,Sarkazm
4392,Bu kadar sabırlı olmana hayranım.,Sarkazm
4393,Senin kadar pozitif bir insan daha görmedim.,Sarkazm
4394,Bu kadar dürüst olmana bayılıyorum.,Sarkazm
4395,Bu kadar cesur olmana hayranım.,Sarkazm
4396,Senin kadar zeki bir insan daha tanımadım.,Sarkazm
4397,Bu kadar kibar olmana bayılıyorum.,Sarkazm
4398,Bu kadar cömert olmana hayranım.,Sarkazm
4399,Senin gibi bir dostum olduğu için çok mutluyum.,Sarkazm
4400,Bu kadar uyumlu olmana bayılıyorum.,Sarkazm
4401,Bu kadar dikkatli olmana hayranım.,Sarkazm
4402,Senin kadar ilgili bir insan daha görmedim.,Sarkazm
4403,Bu kadar nazik olmana bayılıyorum.,Sarkazm
4404,Bu kadar verimli olmana hayranım.,Sarkazm
4405,Senin kadar çalışkan bir insan daha tanımadım.,Sarkazm
4406,Bu kadar neşeli olmana bayılıyorum.,Sarkazm
4407,Bu kadar yaratıcı olmana hayranım.,Sarkazm
4408,Senin kadar becerikli bir insan daha görmedim.,Sarkazm
4409,Bu kadar sevecen olmana bayılıyorum.,Sarkazm
4410,Bu kadar motive olmana hayranım.,Sarkazm
4411,Senin kadar kararlı bir insan daha tanımadım.,Sarkazm
4412,Bu kadar cana yakın olmana bayılıyorum.,Sarkazm
4413,Bu kadar saygılı olmana hayranım.,Sarkazm
4414,Senin kadar düşünceli bir insan daha görmedim.,Sarkazm
4415,Bu kadar anlayışlı olmana bayılıyorum.,Sarkazm
4416,Bu kadar hoşgörülü olmana hayranım.,Sarkazm
4417,Senin kadar sakin bir insan daha görmedim.,Sarkazm
4418,Bu kadar diplomatik olmana bayılıyorum.,Sarkazm
4419,Bu kadar tutarlı olmana hayranım.,Sarkazm
4420,Senin kadar adil bir insan daha tanımadım.,Sarkazm
4421,Bu kadar uyumlu olmana bayılıyorum.,Sarkazm
4422,Bu kadar sabırlı olmana hayranım.,Sarkazm
4423,Senin kadar olumlu bir insan daha görmedim.,Sarkazm
4424,Bu kadar içten olmana bayılıyorum.,Sarkazm
4425,Bu kadar etkili olmana hayranım.,Sarkazm
4426,Senin kadar üretken bir insan daha tanımadım.,Sarkazm
4427,Bu kadar eğlenceli olmana bayılıyorum.,Sarkazm
4428,Bu kadar esnek olmana hayranım.,Sarkazm
4429,Senin kadar enerjik bir insan daha görmedim.,Sarkazm
4430,Bu kadar rahat olmana bayılıyorum.,Sarkazm
4431,Bu kadar yenilikçi olmana hayranım.,Sarkazm
4432,Senin kadar açık fikirli bir insan daha tanımadım.,Sarkazm
4433,Bu kadar gerçekçi olmana bayılıyorum.,Sarkazm
4434,Bu kadar pratik olmana hayranım.,Sarkazm
4435,Senin kadar hızlı düşünen bir insan daha görmedim.,Sarkazm
4436,Bu kadar detaycı olmana bayılıyorum.,Sarkazm
4437,Bu kadar dikkatli olmana hayranım.,Sarkazm
4438,Senin kadar titiz bir insan daha görmedim.,Sarkazm
4439,Bu kadar düzenli olmana bayılıyorum.,Sarkazm
4440,Bu kadar organize olmana hayranım.,Sarkazm
4441,Senin kadar sistemli bir insan daha görmedim.,Sarkazm
4442,Bu kadar planlı olmana bayılıyorum.,Sarkazm
4443,Bu kadar stratejik olmana hayranım.,Sarkazm
4444,Senin kadar öngörülü bir insan daha tanımadım.,Sarkazm
4445,Bu kadar özenli olmana bayılıyorum.,Sarkazm
4446,Bu kadar hassas olmana hayranım.,Sarkazm
4447,Senin kadar dikkatli bir insan daha görmedim.,Sarkazm
4448,Bu kadar özenli olmana bayılıyorum.,Sarkazm
4449,Bu kadar zarif olmana hayranım.,Sarkazm
4450,Senin kadar sofistike bir insan daha görmedim.,Sarkazm
4451,Bu kadar zevkli olmana bayılıyorum.,Sarkazm
4452,Bu kadar şık olmana hayranım.,Sarkazm
4453,Senin kadar karizmatik bir insan daha tanımadım.,Sarkazm
4454,Bu kadar etkileyici olmana bayılıyorum.,Sarkazm
4455,Bu kadar çekici olmana hayranım.,Sarkazm
4456,Senin kadar ilgi çekici bir insan daha tanımadım.,Sarkazm
4457,Bu kadar sevimli olmana bayılıyorum.,Sarkazm
4458,Bu kadar tatlı olmana hayranım.,Sarkazm
4459,Senin gibi bir dahiyi daha önce hiç görmedim.,Sarkazm
4460,"Bu sorunu çözdüğüne inanamıyorum, tam bir mucize.",Sarkazm
4461,"Aynen, bu durum tam da istediğim gibi.",Sarkazm
4462,Bu olaydan sonra kesinlikle hayatım değişti.,Sarkazm
4463,Bu kadar mükemmel bir performans beklemiyordum.,Sarkazm
4464,Umarım bir gün senin seviyene ulaşabilirim.,Sarkazm
4465,Senin fikirlerin olmasaydı ne yapardık bilmiyorum.,Sarkazm
4466,"Kalbim göğsümde deli gibi çarpıyordu, sanki her an yerinden fırlayacakmış gibi.",Korku
4467,"Soğuk terler tüm vücudumu kaplamıştı, ensemden aşağı doğru buz gibi bir ürperti yayıldı.",Korku
4468,"Gözlerim karanlığa alışmaya çalışırken, her gölge bir tehdit gibi görünüyordu.",Korku
4469,"Boğazım kurumuştu, yutkunmakta zorlanıyordum, sanki nefes almak bile bir çaba gerektiriyordu.",Korku
4470,"Adımlarım titrek ve güvensizdi, sanki her an yere düşecekmiş gibi hissediyordum.",Korku
4471,"Etrafımdaki sesler uğultuya dönüşmüştü, hiçbir şeyi net olarak duyamıyordum.",Korku
4472,"Ellerim buz kesmişti, parmaklarımın ucunu hissetmiyordum bile.",Korku
4473,"Midem bulanıyordu, sanki içim dışıma çıkacakmış gibi bir his vardı.",Korku
4474,"Tüm kaslarım gerilmişti, sanki her an bir saldırıya karşı tetikteymişim gibi.",Korku
4475,"Aklım karmakarışıktı, düşüncelerim birbirine girmişti, ne yapacağımı bilemiyordum.",Korku
4476,"Yüzüm bembeyaz kesilmişti, sanki tüm kanım çekilmiş gibi hissediyordum.",Korku
4477,"Göz bebeklerim büyümüştü, sanki her şeyi daha net görmeye çalışıyormuş gibi.",Korku
4478,"Saçlarım diken diken olmuştu, sanki vücudum alarm veriyordu.",Korku
4479,"Dişlerimi sıkmıştım, çenem kasılmıştı, kendimi kontrol etmekte zorlanıyordum.",Korku
4480,"Dizlerim titriyordu, ayakta durmakta zorlanıyordum, sanki bacaklarım beni taşımıyordu.",Korku
4481,"Sanki bir şey beni izliyordu, ensemde bir nefes hissediyordum.",Korku
4482,"Her an kötü bir şey olacakmış gibi hissediyordum, içimde tarifsiz bir endişe vardı.",Korku
4483,"Sanki zaman durmuştu, her şey ağır çekimde ilerliyordu.",Korku
4484,"Kaçmak istiyordum, ama nereye gideceğimi bilmiyordum.",Korku
4485,"Saklanmak istiyordum, ama saklanacak bir yer bulamıyordum.",Korku
4486,"Çaresiz hissediyordum, sanki hiçbir şey yapamazdım.",Korku
4487,"Savunmasız hissediyordum, sanki her an saldırıya uğrayabilirdim.",Korku
4488,"Panik atak geçiriyordum, nefes almakta zorlanıyordum, ölecekmiş gibi hissediyordum.",Korku
4489,"Gerçeklik algımı kaybetmiştim, rüyada mı yoksa gerçekte mi olduğumu ayırt edemiyordum.",Korku
4490,"Küçük bir çocuk gibi hissediyordum, annemi ya da babamı arıyordum.",Korku
4491,"Yardım istemek istiyordum, ama sesim çıkmıyordu.",Korku
4492,"Konuşmak istiyordum, ama kelimeler boğazımda düğümleniyordu.",Korku
4493,"Donup kalmıştım, hareket edemiyordum, sanki bir heykel gibiydim.",Korku
4494,"Aklımı kaçırmak üzereydim, sanki delirecektim.",Korku
4495,Gözlerim fal taşı gibi açılmıştı.,Korku
4496,Yüreğim ağzıma gelmişti.,Korku
4497,Tepeden tırnağa titriyordum.,Korku
4498,Kanım donmuş gibiydi.,Korku
4499,Nefesim kesilmişti.,Korku
4500,Dilim tutulmuştu.,Korku
4501,Dudaklarım morarmıştı.,Korku
4502,Tırnaklarım bembeyaz kesilmişti.,Korku
4503,Burnum sızlıyordu.,Korku
4504,Gözlerim kararıyordu.,Korku
4505,Her şey üzerime üzerime geliyordu.,Korku
4506,Sanki bir kabusun içindeydim.,Korku
4507,En kötü senaryoları düşünüyordum.,Korku
4508,Kendimi çok yalnız hissediyordum.,Korku
4509,Sanki bir şey beni yutacakmış gibiydi.,Korku
4510,"Çığlık atmak istiyordum, ama atamıyordum.",Korku
4511,Kendimi çok küçük ve güçsüz hissediyordum.,Korku
4512,Kalbim yerinden çıkacak gibi atıyordu.,Korku
4513,İçimde tarifsiz bir sıkıntı vardı.,Korku
4514,Ölümle burun buruna gelmiş gibiydim.,Korku
4515,Sanki tüm dünya üzerime çöküyordu.,Korku
4516,Çok karanlık ve soğuk bir yerdeydim sanki.,Korku
4517,Umutsuzluğun dibine vurmuştum.,Korku
4518,Sanki bir labirentte kaybolmuştum.,Korku
4519,Korkudan öleceğimi sanmıştım.,Korku
4520,Gecenin karanlığında yapayalnızdım.,Korku
4521,Yüksek bir yerden aşağıya bakarken içim ürperdi.,Korku
4522,Sessiz bir ormanda kaybolmaktan korktum.,Korku
4523,Ani bir gök gürültüsüyle irkildim.,Korku
4524,Karanlık bir sokakta yürürken tedirgin oldum.,Korku
4525,Rüyada bir canavar tarafından kovalandım.,Korku
4526,Yılan gördüğümde tüylerim diken diken oldu.,Korku
4527,Asansörde mahsur kalmaktan çok korkarım.,Korku
4528,Uçak türbülansa girdiğinde panik oldum.,Korku
4529,Evde yalnızken garip sesler duymaktan korkarım.,Korku
4530,Denizin derinliklerinde ne olduğunu merak etmek beni korkutuyor.,Korku
4531,Ölüm düşüncesi beni ürkütüyor.,Korku
4532,Hastalık kapmaktan çok korkarım.,Korku
4533,Sevdiklerimi kaybetme korkusu içimi kemiriyor.,Korku
4534,Başarısız olmaktan çok korkuyorum.,Korku
4535,Yetersiz olduğumu düşünmek beni endişelendiriyor.,Korku
4536,Gelecekten korkuyorum.,Korku
4537,Yalnız kalmaktan çok korkuyorum.,Korku
4538,Reddedilmekten çok korkuyorum.,Korku
4539,Sorumluluk almaktan kaçınıyorum.,Korku
4540,Değişimden korkuyorum.,Korku
4541,Kontrolü kaybetmek beni korkutuyor.,Korku
4542,Bilmediğim şeyler beni endişelendiriyor.,Korku
4543,Doğal afetlerden korkuyorum.,Korku
4544,Savaştan ve şiddetten korkuyorum.,Korku
4545,Terörizmden korkuyorum.,Korku
4546,Hırsızlardan ve suçlulardan korkuyorum.,Korku
4547,Yabancılardan çekiniyorum.,Korku
4548,İnsanların beni yargılamasından korkuyorum.,Korku
4549,Alay edilmekten ve küçük düşürülmekten korkuyorum.,Korku
4550,Konuşma yapmaktan ve sunum yapmaktan korkuyorum.,Korku
4551,Topluluk önünde şarkı söylemekten korkuyorum.,Korku
4552,Sınavlardan ve testlerden korkuyorum.,Korku
4553,Karanlıkta yürürken her gölgeden tırsmak.,Korku
4554,Yüksek bir binanın tepesinde başımın dönmesi.,Korku
4555,Issız bir yolda arabanın bozulması.,Korku
4556,Evde yalnızken duyulan garip bir tıkırtı.,Korku
4557,Bir rüyada düşmekten uyanmak.,Korku
4558,Denizin derinliklerinde bilinmeyene doğru yüzmek.,Korku
4559,Ormanda kaybolup yönünü şaşırmak.,Korku
4560,Korku filmi izlerken koltuğa yapışmak.,Korku
4561,Doktorun muayenehanesinde kötü haber beklemek.,Korku
4562,Uçağın türbülansa girmesiyle birlikte gelen panik.,Korku
4563,Bir deprem anında ne yapacağını bilememek.,Korku
4564,Yangın alarmının çalmasıyla gelen telaş.,Korku
4565,Hırsızın eve girmesiyle yaşanan dehşet.,Korku
4566,Savaşın ortasında kalmak.,Korku
4567,Terörist saldırısından kurtulmaya çalışmak.,Korku
4568,Bir kazada yaralanmak.,Korku
4569,Sevdiğini kaybetmek.,Korku
4570,Ölümle yüzleşmek.,Korku
4571,Kimsesiz kalmak.,Korku
4572,Unutulmak.,Korku
4573,Yok olmak.,Korku
4574,Bu yemeğin kokusu beni tiksindiriyor.,İğrenme
4575,O davranış o kadar iğrençti ki midem bulandı.,İğrenme
4576,"Bu pisliğe dokunmak bile istemiyorum, iğrenç!",İğrenme
4577,"O olayı hatırladıkça içim daralıyor, iğreniyorum.",İğrenme
4578,"Böyle bir şeyi görmek bile beni hasta ediyor, ne kadar iğrenç!",İğrenme
4579,Bu durumdan o kadar rahatsızım ki iğreniyorum.,İğrenme
4580,"Böylesi bir düşünce bile beni dehşete düşürüyor, iğrenç!",İğrenme
4581,O filmi izlerken resmen tiksinti duydum.,İğrenme
4582,"Bu kadar kötü bir şeyi daha önce görmemiştim, iğrenç!",İğrenme
4583,"Bu durum karşısında ne yapacağımı bilemiyorum, iğreniyorum.",İğrenme
4584,"O kadar kötü kokuyor ki, sanki leş gibi, iğrenç!",İğrenme
4585,"Böylesi bir manzarayı görmek bile dayanılmaz, iğreniyorum.",İğrenme
4586,"O kadar yapmacık ki, iğreniyorum onun davranışlarından.",İğrenme
4587,"Bu kadar pis bir yerde nasıl durulur, iğrenç!",İğrenme
4588,"O kadar zalimce davrandı ki, iğreniyorum ondan.",İğrenme
4589,"Bu kadar kaba bir insan görmedim, iğrenç!",İğrenme
4590,"O kadar açgözlü ki, davranışları beni iğrendiriyor.",İğrenme
4591,"Bu kadar sahtekar birine tahammül edemiyorum, iğrenç!",İğrenme
4592,"O kadar bencil ki, iğreniyorum onun düşüncelerinden.",İğrenme
4593,"Bu kadar cimri bir insan olamaz, iğrenç!",İğrenme
4594,"Onun riyakarlığı beni hasta ediyor, iğreniyorum.",İğrenme
4595,"Bu kadar aptalca bir şey duymadım, iğrenç!",İğrenme
4596,"Onun küstahlığına tahammül edemiyorum, iğrenç!",İğrenme
4597,"Bu kadar boş bir insan olamaz, iğreniyorum.",İğrenme
4598,"Onun dedikoduları beni çileden çıkarıyor, iğrenç!",İğrenme
4599,"Bu kadar umursamaz birine rastlamadım, iğreniyorum.",İğrenme
4600,"Onun kıskançlığı beni rahatsız ediyor, iğrenç!",İğrenme
4601,"Bu kadar anlayışsız bir insan olamaz, iğreniyorum.",İğrenme
4602,"Onun terbiyesizliği beni şaşırtıyor, iğrenç!",İğrenme
4603,"Bu kadar saygısız bir davranış görmedim, iğreniyorum.",İğrenme
4604,"Onun yalancılığı beni sinirlendiriyor, iğrenç!",İğrenme
4605,"Bu kadar sorumsuz birine katlanamıyorum, iğreniyorum.",İğrenme
4606,"Onun ukalalığı beni deli ediyor, iğrenç!",İğrenme
4607,"Bu kadar acımasız bir şey görmedim, iğreniyorum.",İğrenme
4608,"Onun düşüncesizliği beni üzüyor, iğrenç!",İğrenme
4609,"Bu kadar samimiyetsiz bir davranış görmedim, iğreniyorum.",İğrenme
4610,"Onun ilgisizliği beni hayal kırıklığına uğratıyor, iğrenç!",İğrenme
4611,"Bu kadar sevimsiz bir şey görmedim, iğreniyorum.",İğrenme
4612,"Onun lakaytlığı beni kızdırıyor, iğrenç!",İğrenme
4613,"Bu kadar suratsız bir insan olamaz, iğreniyorum.",İğrenme
4614,"Onun vurdumduymazlığı beni şaşırtıyor, iğrenç!",İğrenme
4615,"Bu kadar itici bir davranış görmedim, iğreniyorum.",İğrenme
4616,"Onun soğukluğu beni ürkütüyor, iğrenç!",İğrenme
4617,"Bu kadar sevimsiz birine rastlamadım, iğreniyorum.",İğrenme
4618,"Onun kayıtsızlığı beni sinirlendiriyor, iğrenç!",İğrenme
4619,"Bu kadar antipatik bir insan olamaz, iğreniyorum.",İğrenme
4620,"Onun ilgisizliği beni üzüyor, iğrenç!",İğrenme
4621,"Bu kadar tatsız bir şaka duymadım, iğrenç!",İğrenme
4622,"O kadar kötü bir espriydi ki, iğreniyorum.",İğrenme
4623,"Bu kadar komik olmayan bir şey görmedim, iğrenç!",İğrenme
4624,Onun beceriksizliği beni güldürüyor ama aynı zamanda iğrendiriyor.,İğrenme
4625,"Bu kadar acemice bir iş yapmamalıydı, iğrenç!",İğrenme
4626,"Onun sakarlığı beni deli ediyor, iğrenç!",İğrenme
4627,"Bu kadar beceriksiz birine rastlamadım, iğreniyorum.",İğrenme
4628,"Onun kabalığı beni şaşırtıyor, iğrenç!",İğrenme
4629,"Bu kadar saygısız bir üslup görmedim, iğreniyorum.",İğrenme
4630,"Onun arsızlığı beni sinirlendiriyor, iğrenç!",İğrenme
4631,"Bu kadar yüzsüz bir davranış görmedim, iğreniyorum.",İğrenme
4632,"Onun densizliği beni üzüyor, iğrenç!",İğrenme
4633,"Bu kadar patavatsız bir şey duymadım, iğrenç!",İğrenme
4634,"Onun cahilliği beni şaşırtıyor, iğrenç!",İğrenme
4635,"Bu kadar bilgisiz birine rastlamadım, iğreniyorum.",İğrenme
4636,"Onun aptallığı beni sinirlendiriyor, iğrenç!",İğrenme
4637,"Bu kadar budalaca bir şey görmedim, iğreniyorum.",İğrenme
4638,"Onun budalalığı beni üzüyor, iğrenç!",İğrenme
4639,"Bu kadar enayi bir davranış görmedim, iğreniyorum.",İğrenme
4640,"Onun ahmaklığı beni şaşırtıyor, iğrenç!",İğrenme
4641,"Bu kadar salakça bir şey duymadım, iğrenç!",İğrenme
4642,"Onun gerizekalılığı beni sinirlendiriyor, iğrenç!",İğrenme
4643,"Bu kadar geri zekalı birine rastlamadım, iğreniyorum.",İğrenme
4644,"Onun aptallığı beni üzüyor, iğrenç!",İğrenme
4645,"Bu kadar kafasız bir davranış görmedim, iğreniyorum.",İğrenme
4646,"Onun budalalığı beni şaşırtıyor, iğrenç!",İğrenme
4647,"Bu kadar sersemce bir şey duymadım, iğrenç!",İğrenme
4648,"Onun zavallılığı beni sinirlendiriyor, iğrenç!",İğrenme
4649,"Bu kadar beceriksiz bir şey görmedim, iğreniyorum.",İğrenme
4650,"O kadar rezil bir durum ki, iğreniyorum.",İğrenme
4651,"Böylesi bir kepazelik görmedim, iğrenç!",İğrenme
4652,"O kadar bayağı ki, iğreniyorum onun seviyesizliğinden.",İğrenme
4653,"Bu kadar aşağılık bir şey duymadım, iğrenç!",İğrenme
4654,"O kadar soysuz ki, iğreniyorum onun ahlaksızlığından.",İğrenme
4655,"Bu kadar alçak bir davranış görmedim, iğreniyorum.",İğrenme
